,Country_code,Category,Product,Raw_material_ontology,Level0,Level1,Level2,Level4
0,"['356', ' 156', ' 064']",alcoholic_beverage,Arrak,barley,Materials,cereal_food,hordeum,barley
1,"['356', ' 524', ' 064', ' 156']",alcoholic_beverage,Chhaang,barley,Materials,cereal_food,hordeum,barley
2,['56'],beer,Lambic_beer,barley,Materials,cereal_food,hordeum,barley
3,['392'],alcoholic_beverage,Shōchū,barley,Materials,cereal_food,hordeum,barley
4,"['233', ' 643', ' 616']",fermented_cereal,Kvass,barley,Materials,cereal_food,hordeum,barley
5,['231'],beer,Tella,barley,Materials,cereal_food,hordeum,barley
6,['246'],beer,Sahti,barley,Materials,cereal_food,hordeum,barley
7,['356'],alcoholic_beverage,Mingiri,barley,Materials,cereal_food,hordeum,barley
8,['356'],alcoholic_beverage,Lohpani,barley,Materials,cereal_food,hordeum,barley
9,['356'],alcoholic_beverage,Bhangchang,barley,Materials,cereal_food,hordeum,barley
10,['356'],alcoholic_beverage,Themsing,barley,Materials,cereal_food,hordeum,barley
11,['356'],alcoholic_beverage,Sing_sing,barley,Materials,cereal_food,hordeum,barley
12,"['356', ' 524', ' 156']",alcoholic_beverage,"Chhaang,_Chhyang,_Lugri",barley,Materials,cereal_food,hordeum,barley
13,"['356', ' 524']",alcoholic_beverage,Raksi,barley,Materials,cereal_food,hordeum,barley
14,"['356', ' 524']",alcoholic_beverage,"Jao_ko_jaanr,_Jaun_ko_jaanr",barley,Materials,cereal_food,hordeum,barley
15,['642'],fermented_cereal,Bors,barley,Materials,cereal_food,hordeum,barley
16,"['356', ' 156', ' 064']",alcoholic_beverage,Arrak,millet_seed,Materials,cereal_food,millet,millet_seed
17,"['356', ' 524', ' 064', ' 156']",alcoholic_beverage,Chhaang,millet_seed,Materials,cereal_food,millet,millet_seed
18,['50'],fermented_cereal,Thumba,millet_seed,Materials,cereal_food,millet,millet_seed
19,['156'],alcoholic_beverage,Baijiu,millet_seed,Materials,cereal_food,millet,millet_seed
20,['156'],alcoholic_beverage,Huangjiu,millet_seed,Materials,cereal_food,millet,millet_seed
